Date	Price	Open	High	Low	Vol.	Change %
"Oct 03, 2015"	0.00172	0.001731	0.00175	0.001697	31.63	-0.01
"Oct 02, 2015"	0.001731	0.001711	0.0018	0.001652	51.89	0.01
"Oct 01, 2015"	0.001711	0.001673	0.001815	0.001652	58.58	0.02
"Sep 30, 2015"	0.001673	0.001848	0.001848	0.00131	216.16	-0.09
"Sep 29, 2015"	0.001848	0.00188	0.001899	0.0018	36.16	-0.02
"Sep 28, 2015"	0.00188	0.001887	0.00191	0.001861	44.62	0.00
"Sep 27, 2015"	0.001887	0.001931	0.001935	0.001865	29.06	-0.02
"Sep 26, 2015"	0.001931	0.001924	0.00201	0.001861	78.78	0.00
"Sep 25, 2015"	0.001924	0.002	0.00206	0.00185	146.35	-0.04
"Sep 24, 2015"	0.002	0.002023	0.002028	0.001961	26.01	-0.01
"Sep 23, 2015"	0.002023	0.002069	0.00207	0.00195	53.89	-0.02
"Sep 22, 2015"	0.002069	0.002145	0.002147	0.002001	35.96	-0.04
"Sep 21, 2015"	0.002145	0.002119	0.002161	0.002075	17.75	0.01
"Sep 20, 2015"	0.002119	0.002134	0.0022	0.00206	39.08	-0.01
"Sep 19, 2015"	0.002134	0.002138	0.00219	0.002121	18.01	0.00
"Sep 18, 2015"	0.002138	0.002155	0.00221	0.002055	19.99	-0.01
"Sep 17, 2015"	0.002155	0.002236	0.00227	0.00203	115.63	-0.04
"Sep 16, 2015"	0.002236	0.00219	0.00224	0.002104	78.90	0.02
"Sep 15, 2015"	0.00219	0.0021	0.002245	0.002062	69.31	0.04
"Sep 14, 2015"	0.0021	0.002	0.00222	0.001961	112.23	0.05
"Sep 13, 2015"	0.002	0.001982	0.00208	0.001955	30.87	0.01
"Sep 12, 2015"	0.001982	0.002074	0.002109	0.001952	36.88	-0.04
"Sep 11, 2015"	0.002074	0.002088	0.00213	0.00203	42.45	-0.01
"Sep 10, 2015"	0.002088	0.002126	0.0022	0.002067	29.15	-0.02
"Sep 09, 2015"	0.002126	0.002125	0.00222	0.002045	82.08	0.00
"Sep 08, 2015"	0.002125	0.002071	0.002143	0.002054	38.64	0.03
"Sep 07, 2015"	0.002071	0.002093	0.002106	0.002055	22.38	-0.01
"Sep 06, 2015"	0.002093	0.00205	0.002101	0.00204	32.05	0.02
"Sep 05, 2015"	0.00205	0.002034	0.002069	0.002029	45.56	0.01
"Sep 04, 2015"	0.002034	0.00202	0.00208	0.002001	34.48	0.01
"Sep 03, 2015"	0.00202	0.002059	0.0021	0.002019	51.10	-0.02
"Sep 02, 2015"	0.002059	0.002012	0.00207	0.002002	32.70	0.02
"Sep 01, 2015"	0.002012	0.002037	0.00205	0.002	24.26	-0.01
"Aug 31, 2015"	0.002037	0.002014	0.002106	0.002	37.70	0.01
"Aug 30, 2015"	0.002014	0.00208	0.00208	0.001996	39.39	-0.03
"Aug 29, 2015"	0.00208	0.002054	0.002106	0.001976	60.58	0.01
"Aug 28, 2015"	0.002054	0.002052	0.00209	0.001984	42.97	0.00
"Aug 27, 2015"	0.002052	0.002201	0.002201	0.002035	39.57	-0.07
"Aug 26, 2015"	0.002201	0.002215	0.002349	0.002085	31.48	-0.01
"Aug 25, 2015"	0.002215	0.002065	0.002248	0.002	61.77	0.07
"Aug 24, 2015"	0.002065	0.00239	0.00245	0.001961	153.60	-0.14
"Aug 23, 2015"	0.00239	0.002394	0.002451	0.00224	49.02	0.00
"Aug 22, 2015"	0.002394	0.002442	0.002482	0.00235	30.89	-0.02
"Aug 21, 2015"	0.002442	0.002539	0.002601	0.002421	58.34	-0.04
"Aug 20, 2015"	0.002539	0.002364	0.002649	0.002301	105.34	0.07
"Aug 19, 2015"	0.002364	0.002318	0.002388	0.002197	64.55	0.02
"Aug 18, 2015"	0.002318	0.002366	0.00243	0.002214	53.97	-0.02
"Aug 17, 2015"	0.002366	0.002398	0.002416	0.002247	65.60	-0.01
"Aug 16, 2015"	0.00238	0.002347	0.002598	0.002332	92.65	0.01
"Aug 15, 2015"	0.002347	0.002291	0.0025	0.00221	73.69	0.02
"Aug 14, 2015"	0.002291	0.002197	0.00231	0.002051	86.52	0.04
"Aug 13, 2015"	0.002197	0.002345	0.00243	0.00211	68.73	-0.06
"Aug 12, 2015"	0.002345	0.002241	0.00244	0.00217	85.09	0.05
"Aug 11, 2015"	0.002241	0.002475	0.002563	0.002214	93.53	-0.09
"Aug 10, 2015"	0.002475	0.002581	0.002667	0.00247	45.50	-0.04
"Aug 09, 2015"	0.002581	0.0026	0.002666	0.00235	143.83	-0.01
"Aug 08, 2015"	0.0026	0.00262	0.002695	0.002468	77.64	-0.01
"Aug 07, 2015"	0.00262	0.002644	0.002709	0.0024	162.59	-0.01
"Aug 06, 2015"	0.002644	0.0022	0.0027	0.002183	245.72	0.20
"Aug 05, 2015"	0.0022	0.00218	0.00221	0.002122	46.98	0.01
"Aug 04, 2015"	0.00218	0.002116	0.002188	0.00207	33.53	0.03
"Aug 03, 2015"	0.002116	0.0022	0.002221	0.002105	62.23	-0.04
"Aug 02, 2015"	0.0022	0.002078	0.00221	0.00202	90.85	0.06
"Aug 01, 2015"	0.002078	0.002023	0.002154	0.00197	62.98	0.03
"Jul 31, 2015"	0.002023	0.002029	0.002035	0.001978	28.77	0.00
"Jul 30, 2015"	0.002029	0.00204	0.002041	0.00198	26.14	-0.01
"Jul 29, 2015"	0.00204	0.002065	0.0021	0.002003	36.67	-0.01
"Jul 28, 2015"	0.002065	0.00204	0.0021	0.002	47.69	0.01
"Jul 27, 2015"	0.00204	0.001986	0.0021	0.001981	26.87	0.03
"Jul 26, 2015"	0.001986	0.00196	0.002067	0.001921	29.36	0.01
"Jul 25, 2015"	0.00196	0.001994	0.002037	0.00193	45.27	-0.02
"Jul 24, 2015"	0.001994	0.00208	0.0021	0.001971	24.46	-0.04
"Jul 23, 2015"	0.00208	0.002057	0.00214	0.002	58.63	0.01
"Jul 22, 2015"	0.002057	0.002164	0.002164	0.001975	46.41	-0.05
"Jul 21, 2015"	0.002164	0.001962	0.002164	0.00195	64.92	0.10
"Jul 20, 2015"	0.001962	0.00198	0.001985	0.001912	33.24	-0.01
"Jul 19, 2015"	0.00198	0.00191	0.001985	0.001887	22.02	0.04
"Jul 18, 2015"	0.00191	0.001915	0.001958	0.00188	24.15	0.00
"Jul 17, 2015"	0.001915	0.001937	0.001938	0.00185	14.56	-0.01
